,station,site,date,chla_surf,diss_o_surf,ph_surf,salinity_surf,turbidity_surf,temp_surf,suspended_solids_surf,nitrates_surf,depth_bott,chla_bott,diss_o_bott,ph_bott,salinity_bott,turbidity_bott,temp_bott,suspended_solids_bott,nitrates_bott,latitude,longitude,depth_m,temp_delta
806,EM1,Eastern Buffer,1988-09-13,12.0,7.3,8.5,30.3,1.5,26.0,5.0,0.05,Bottom Water,4.6,3.9,8.4,33.0,5.0,23.5,7.0,0.08,22.2751,114.2555833,16,-2.5
815,EM1,Eastern Buffer,1989-06-06,1.1,4.7,8.2,32.9,7.2,23.2,2.0,0.33,Bottom Water,1.1,4.8,8.2,33.3,6.8,22.9,8.0,0.31,22.2751,114.2555833,16,-0.3000000000000007
816,EM1,Eastern Buffer,1989-07-10,11.0,6.8,8.8,28.8,4.0,26.8,0.5,0.03,Bottom Water,17.0,5.2,8.8,31.5,4.4,24.6,6.5,0.05,22.2751,114.2555833,16,-2.1999999999999993
817,EM1,Eastern Buffer,1989-08-07,17.0,4.6,8.6,32.5,5.0,25.0,2.0,0.23,Bottom Water,3.2,3.9,8.6,33.8,8.5,22.8,6.0,0.22,22.2751,114.2555833,16,-2.1999999999999993
818,EM1,Eastern Buffer,1989-09-08,1.5,6.6,8.8,30.3,2.1,28.7,3.5,0.09,Bottom Water,1.0,5.6,8.6,30.4,11.0,28.1,4.5,0.12,22.2751,114.2555833,16,-0.5999999999999979
827,EM1,Eastern Buffer,1990-06-04,2.1,4.4,8.2,32.2,4.5,25.0,4.0,0.4,Bottom Water,0.3,4.9,8.3,32.5,17.0,24.8,9.5,0.29,22.2751,114.2555833,16,-0.1999999999999993
828,EM1,Eastern Buffer,1990-07-06,18.0,6.2,8.4,28.8,4.5,25.2,6.0,0.25,Bottom Water,8.0,4.6,8.4,33.7,5.2,22.6,6.0,0.23,22.2751,114.2555833,16,-2.599999999999998
829,EM1,Eastern Buffer,1990-08-06,6.7,5.5,8.4,29.7,2.3,27.5,1.5,0.23,Bottom Water,0.2,4.5,8.4,33.3,6.7,25.9,7.0,0.09,22.2751,114.2555833,16,-1.6000000000000014
830,EM1,Eastern Buffer,1990-09-07,12.0,6.6,8.5,32.3,4.3,28.0,2.5,0.02,Bottom Water,0.8,4.8,8.4,32.9,8.6,27.3,6.0,0.09,22.2751,114.2555833,16,-0.6999999999999993
839,EM1,Eastern Buffer,1991-06-03,1.9,6.3,8.2,31.9,1.3,25.6,2.0,0.22,Bottom Water,0.3,5.0,8.1,33.9,4.3,22.1,6.5,0.16,22.2751,114.2555833,16,-3.5
840,EM1,Eastern Buffer,1991-07-05,1.1,6.5,8.2,27.0,2.9,25.1,3.0,0.47,Bottom Water,0.3,4.9,8.1,34.1,6.1,20.6,5.5,0.2,22.2751,114.2555833,16,-4.5
841,EM1,Eastern Buffer,1991-08-05,4.5,7.7,8.4,29.0,3.3,24.2,3.0,0.26,Bottom Water,7.2,3.6,8.4,33.5,4.0,19.7,5.0,0.44,22.2751,114.2555833,16,-4.5
842,EM1,Eastern Buffer,1991-09-10,0.8,3.5,8.1,31.6,4.8,24.6,6.5,0.54,Bottom Water,0.5,3.8,8.1,32.1,6.9,24.2,10.0,0.39,22.2751,114.2555833,16,-0.40000000000000213
851,EM1,Eastern Buffer,1992-06-01,0.2,4.9,8.1,31.5,4.0,25.0,6.5,0.31,Bottom Water,1.1,5.2,8.1,31.6,4.9,24.9,9.5,0.26,22.2751,114.2555833,16,-0.10000000000000142
852,EM1,Eastern Buffer,1992-07-03,0.2,4.3,8.1,25.9,9.8,28.4,14.0,0.39,Bottom Water,0.5,4.0,8.2,29.4,13.0,27.5,20.0,0.35,22.2751,114.2555833,16,-0.8999999999999986
853,EM1,Eastern Buffer,1992-08-03,1.6,4.7,7.8,31.4,4.1,25.5,3.5,0.29,Bottom Water,1.1,4.1,7.6,33.4,5.5,22.9,6.5,0.2,22.2751,114.2555833,16,-2.6000000000000014
854,EM1,Eastern Buffer,1992-09-02,0.2,3.3,7.8,31.2,5.0,29.2,7.5,0.45,Bottom Water,0.5,4.0,7.9,32.4,1.5,27.6,14.5,0.32,22.2751,114.2555833,16,-1.5999999999999979
863,EM1,Eastern Buffer,1993-06-09,0.4,5.1,7.9,32.9,1.9,23.7,1.0,0.49,Bottom Water,0.3,4.9,8.0,33.3,4.0,23.3,3.5,0.25,22.2751,114.2555833,16,-0.3999999999999986
864,EM1,Eastern Buffer,1993-07-12,0.4,6.7,8.3,26.2,6.9,27.8,3.0,0.42,Bottom Water,0.3,8.6,8.0,30.7,9.6,25.6,5.0,0.73,22.2751,114.2555833,16,-2.1999999999999993
865,EM1,Eastern Buffer,1993-08-09,0.7,6.0,8.1,31.8,2.7,24.0,4.0,1.15,Bottom Water,0.7,4.4,8.1,33.3,31.1,22.5,12.0,0.32,22.2751,114.2555833,16,-1.5
866,EM1,Eastern Buffer,1993-09-02,0.9,9.0,8.2,31.7,3.7,27.1,7.0,0.47,Bottom Water,0.6,10.3,8.2,31.9,5.4,27.0,21.0,0.31,22.2751,114.2555833,16,-0.10000000000000142
875,EM1,Eastern Buffer,1994-06-01,0.8,3.6,8.3,31.4,4.4,26.8,4.6,0.18,Bottom Water,0.5,4.7,8.3,32.0,6.2,26.6,16.0,0.17,22.2751,114.2555833,16,-0.1999999999999993
876,EM1,Eastern Buffer,1994-07-04,8.1,4.4,8.2,26.3,3.8,27.8,1.9,0.49,Bottom Water,10.0,4.6,8.2,26.7,3.1,27.6,3.1,0.37,22.2751,114.2555833,16,-0.1999999999999993
877,EM1,Eastern Buffer,1994-08-03,19.0,6.4,8.3,23.5,3.1,28.4,4.7,0.42,Bottom Water,13.0,6.7,8.2,24.6,2.9,27.8,4.7,0.4,22.2751,114.2555833,16,-0.5999999999999979
878,EM1,Eastern Buffer,1994-09-05,2.1,4.1,7.9,30.8,4.3,28.1,7.4,0.27,Bottom Water,1.8,5.0,7.8,31.3,6.7,27.8,11.0,0.29,22.2751,114.2555833,16,-0.3000000000000007
887,EM1,Eastern Buffer,1995-06-05,8.7,5.1,7.9,33.2,1.3,27.1,3.4,0.27,Bottom Water,5.7,5.1,8.0,32.9,7.4,26.1,7.5,0.2,22.2751,114.2555833,16,-1.0
888,EM1,Eastern Buffer,1995-07-03,0.6,3.9,8.0,32.7,3.3,23.3,3.8,0.22,Bottom Water,0.5,4.3,8.0,34.1,3.7,22.2,3.7,0.16,22.2751,114.2555833,16,-1.1000000000000014
889,EM1,Eastern Buffer,1995-08-03,0.8,5.2,7.9,29.6,4.5,24.8,10.0,0.38,Bottom Water,0.6,4.4,8.0,32.7,5.7,24.2,4.2,0.26,22.2751,114.2555833,16,-0.6000000000000014
890,EM1,Eastern Buffer,1995-09-06,8.3,4.0,7.9,29.1,4.4,28.1,3.7,0.29,Bottom Water,6.7,4.0,8.0,30.6,1.9,27.6,3.3,0.33,22.2751,114.2555833,16,-0.5
899,EM1,Eastern Buffer,1996-06-03,9.3,5.7,8.2,31.9,4.5,25.1,4.0,0.25,Bottom Water,7.4,5.7,8.2,32.4,6.5,24.9,6.5,0.22,22.2751,114.2555833,16,-0.20000000000000284
900,EM1,Eastern Buffer,1996-07-01,11.0,4.6,7.9,27.9,2.9,25.8,5.8,0.37,Bottom Water,1.8,4.5,7.9,33.1,6.7,23.8,17.0,0.26,22.2751,114.2555833,16,-2.0
901,EM1,Eastern Buffer,1996-08-01,6.8,4.8,7.8,32.3,1.7,25.7,3.7,0.21,Bottom Water,1.6,4.6,7.9,33.4,6.9,24.0,8.3,0.14,22.2751,114.2555833,16,-1.6999999999999993
902,EM1,Eastern Buffer,1996-09-02,1.5,3.6,7.8,32.3,1.5,24.8,2.7,0.25,Bottom Water,1.8,3.7,7.8,32.7,1.5,24.4,2.8,0.27,22.2751,114.2555833,16,-0.40000000000000213
911,EM1,Eastern Buffer,1997-06-02,5.5,3.9,7.7,29.9,4.8,25.8,4.5,0.44,Bottom Water,2.9,3.9,7.8,31.3,4.7,25.3,4.5,0.41,22.2751,114.2555833,16,-0.5
912,EM1,Eastern Buffer,1997-07-18,1.4,5.9,8.4,20.2,2.6,26.0,1.0,0.38,Bottom Water,0.8,5.1,8.3,31.0,2.1,23.2,1.3,0.38,22.2751,114.2555833,16,-2.8000000000000007
913,EM1,Eastern Buffer,1997-09-08,11.0,6.0,7.9,30.5,1.5,25.4,3.9,0.2,Bottom Water,8.8,5.5,7.9,32.3,2.1,24.3,3.5,0.21,22.2751,114.2555833,16,-1.0999999999999979
922,EM1,Eastern Buffer,1998-06-01,2.8,5.2,8.2,32.0,3.8,27.1,9.2,0.32,Bottom Water,1.9,5.6,8.2,32.3,6.4,27.1,4.6,0.23,22.2751,114.2555833,16,0.0
923,EM1,Eastern Buffer,1998-07-06,7.9,3.3,8.3,20.6,3.6,26.4,3.2,0.45,Bottom Water,3.9,3.2,8.2,24.3,3.1,25.9,2.6,0.52,22.2751,114.2555833,16,-0.5
924,EM1,Eastern Buffer,1998-08-06,14.0,4.2,7.9,30.5,5.0,25.5,3.7,0.27,Bottom Water,5.3,2.6,7.9,33.4,5.6,23.5,4.2,0.24,22.2751,114.2555833,16,-2.0
925,EM1,Eastern Buffer,1998-09-02,4.4,5.7,8.2,30.6,2.0,27.5,0.7,0.14,Bottom Water,2.6,5.2,8.1,32.6,2.7,25.1,3.0,0.3,22.2751,114.2555833,16,-2.3999999999999986
934,EM1,Eastern Buffer,1999-06-02,2.3,4.2,7.9,32.2,6.3,26.6,4.2,0.35,Bottom Water,1.8,4.1,8.0,32.4,7.6,26.1,5.9,0.3,22.2751,114.2555833,16,-0.5
935,EM1,Eastern Buffer,1999-07-07,33.0,4.4,8.0,30.3,9.0,24.7,4.1,0.21,Bottom Water,3.6,3.1,7.9,34.4,11.1,22.3,3.5,0.24,22.2751,114.2555833,16,-2.3999999999999986
936,EM1,Eastern Buffer,1999-08-09,12.0,3.8,8.3,29.8,6.7,28.0,5.2,0.38,Bottom Water,4.6,2.3,8.3,32.3,7.8,26.1,5.9,0.28,22.2751,114.2555833,16,-1.8999999999999986
937,EM1,Eastern Buffer,1999-09-03,12.0,4.7,8.1,30.4,5.4,25.8,2.0,0.29,Bottom Water,9.3,4.2,8.1,33.8,13.6,23.6,11.0,0.25,22.2751,114.2555833,16,-2.1999999999999993
946,EM1,Eastern Buffer,2000-06-02,6.4,4.4,8.1,30.0,5.8,27.5,2.2,0.31,Bottom Water,3.2,4.3,8.1,32.9,8.6,25.5,7.0,0.15,22.2751,114.2555833,16,-2.0
947,EM1,Eastern Buffer,2000-07-03,8.6,5.3,8.0,29.8,5.9,26.3,3.0,0.27,Bottom Water,1.4,3.4,7.8,32.8,10.1,23.3,8.6,0.26,22.2751,114.2555833,16,-3.0
948,EM1,Eastern Buffer,2000-08-02,0.2,4.1,7.9,30.6,6.2,24.8,3.2,0.28,Bottom Water,0.2,4.4,7.9,33.8,9.7,23.0,7.3,0.15,22.2751,114.2555833,16,-1.8000000000000007
949,EM1,Eastern Buffer,2000-09-04,1.1,3.6,8.1,31.3,13.7,26.6,1.3,0.34,Bottom Water,1.4,3.3,8.1,32.8,17.9,25.0,2.3,0.3,22.2751,114.2555833,16,-1.6000000000000014
958,EM1,Eastern Buffer,2001-06-01,2.0,5.0,8.3,31.0,5.6,27.5,1.6,0.16,Bottom Water,0.6,5.0,8.3,31.4,7.1,27.3,4.2,0.18,22.2751,114.2555833,16,-0.1999999999999993
959,EM1,Eastern Buffer,2001-07-04,3.3,4.3,8.6,26.5,7.0,27.4,3.0,0.39,Bottom Water,0.7,4.9,8.7,30.0,9.6,27.2,6.2,0.15,22.2751,114.2555833,16,-0.1999999999999993
960,EM1,Eastern Buffer,2001-08-10,10.0,5.2,8.5,26.8,6.3,28.4,1.9,0.08,Bottom Water,4.6,3.1,8.1,33.2,8.6,23.7,3.8,0.18,22.2751,114.2555833,16,-4.699999999999999
961,EM1,Eastern Buffer,2001-09-06,0.2,4.3,8.1,30.2,6.4,27.2,1.5,0.26,Bottom Water,1.0,4.7,8.2,32.8,10.3,27.4,2.9,0.06,22.2751,114.2555833,16,0.1999999999999993
970,EM1,Eastern Buffer,2002-06-17,2.1,5.1,7.8,28.7,8.4,27.2,3.5,0.23,Bottom Water,8.9,4.6,7.8,34.0,10.4,23.7,6.0,0.71,22.2751,114.2555833,16,-3.5
971,EM1,Eastern Buffer,2002-07-15,8.0,7.1,7.8,31.8,7.7,27.3,4.3,0.07,Bottom Water,3.5,4.6,7.8,32.9,12.0,24.7,9.8,0.13,22.2751,114.2555833,16,-2.6000000000000014
972,EM1,Eastern Buffer,2002-08-21,1.3,4.7,8.0,28.8,15.4,27.5,8.4,0.39,Bottom Water,1.9,5.2,8.1,30.1,16.6,27.6,8.3,0.16,22.2751,114.2555833,16,0.10000000000000142
973,EM1,Eastern Buffer,2002-09-23,0.6,5.0,8.1,30.4,9.7,27.5,7.8,0.13,Bottom Water,0.5,5.6,8.1,31.0,10.9,27.5,10.0,0.09,22.2751,114.2555833,16,0.0
982,EM1,Eastern Buffer,2003-06-25,23.0,8.7,8.4,24.7,3.0,27.6,3.1,0.47,Bottom Water,0.4,3.2,7.9,34.9,9.6,23.4,9.2,0.11,22.2751,114.2555833,16,-4.200000000000003
983,EM1,Eastern Buffer,2003-07-04,17.0,10.5,8.3,30.1,3.7,25.9,2.9,0.02,Bottom Water,1.1,3.8,8.1,35.0,8.0,22.0,5.4,0.09,22.2751,114.2555833,16,-3.8999999999999986
984,EM1,Eastern Buffer,2003-08-04,14.0,4.5,8.2,33.0,3.7,26.8,4.2,0.11,Bottom Water,0.5,4.0,8.1,34.8,9.4,24.7,7.9,0.07,22.2751,114.2555833,16,-2.1000000000000014
985,EM1,Eastern Buffer,2003-09-04,0.9,4.6,8.1,31.3,7.4,27.1,2.2,0.31,Bottom Water,0.6,5.7,8.1,33.0,7.5,26.6,3.8,0.14,22.2751,114.2555833,16,-0.5
994,EM1,Eastern Buffer,2004-06-18,1.8,4.7,8.1,33.0,8.6,28.4,2.0,0.22,Bottom Water,1.1,5.1,8.1,33.8,10.0,27.9,5.3,0.09,22.2751,114.2555833,16,-0.5
995,EM1,Eastern Buffer,2004-07-09,4.4,5.2,8.0,31.2,7.3,25.7,1.5,0.33,Bottom Water,0.7,5.3,8.0,34.6,11.1,22.5,7.0,0.06,22.2751,114.2555833,16,-3.1999999999999993
996,EM1,Eastern Buffer,2004-08-20,6.7,4.9,8.0,32.6,7.8,26.2,3.4,0.12,Bottom Water,1.3,4.8,7.9,34.3,12.5,23.1,7.8,0.1,22.2751,114.2555833,16,-3.099999999999998
997,EM1,Eastern Buffer,2004-09-06,5.7,5.7,8.2,31.9,8.8,27.1,2.1,0.22,Bottom Water,0.6,4.7,7.9,33.8,8.8,24.1,2.6,0.08,22.2751,114.2555833,16,-3.0
1006,EM1,Eastern Buffer,2005-06-01,2.7,5.5,8.3,31.0,12.8,26.8,3.1,0.23,Bottom Water,0.8,5.5,8.3,32.3,13.4,26.5,4.4,0.09,22.2751,114.2555833,16,-0.3000000000000007
1007,EM1,Eastern Buffer,2005-07-04,10.0,6.6,8.4,23.6,9.7,26.9,2.3,0.41,Bottom Water,1.8,3.7,8.1,33.4,11.4,22.4,4.3,0.15,22.2751,114.2555833,16,-4.5
1008,EM1,Eastern Buffer,2005-08-01,1.1,4.2,8.4,30.6,12.0,26.8,2.0,0.2,Bottom Water,0.8,4.3,8.4,31.4,12.1,26.5,4.7,0.13,22.2751,114.2555833,16,-0.3000000000000007
1009,EM1,Eastern Buffer,2005-09-12,2.5,5.6,7.9,31.5,10.6,27.7,2.1,0.24,Bottom Water,1.2,5.6,8.0,32.2,11.4,26.9,5.9,0.13,22.2751,114.2555833,16,-0.8000000000000007
1018,EM1,Eastern Buffer,2006-06-08,2.9,4.4,8.1,25.5,3.6,26.4,1.8,0.56,Bottom Water,0.7,4.4,8.1,33.6,5.8,25.4,5.9,0.09,22.2751,114.2555833,16,-1.0
1019,EM1,Eastern Buffer,2006-07-05,12.0,6.1,8.1,26.4,9.5,28.0,2.8,0.42,Bottom Water,0.8,3.4,8.1,34.1,11.7,22.6,2.7,0.16,22.2751,114.2555833,16,-5.399999999999999
1020,EM1,Eastern Buffer,2006-08-02,2.8,7.6,8.1,28.8,10.3,26.9,1.0,0.07,Bottom Water,2.6,5.5,8.0,32.3,16.3,23.7,3.8,0.21,22.2751,114.2555833,16,-3.1999999999999993
1021,EM1,Eastern Buffer,2006-09-01,23.0,8.4,8.2,27.9,11.7,28.3,3.2,0.19,Bottom Water,1.7,4.0,7.9,34.1,17.6,23.5,4.0,0.2,22.2751,114.2555833,16,-4.800000000000001
1030,EM1,Eastern Buffer,2007-06-01,13.0,5.9,8.2,30.5,9.3,27.1,1.5,0.34,Bottom Water,2.1,4.2,8.1,34.0,11.5,24.4,2.9,0.08,22.2751,114.2555833,16,-2.700000000000003
1031,EM1,Eastern Buffer,2007-07-05,9.6,6.9,8.3,29.8,68.7,27.2,2.2,0.15,Bottom Water,1.3,3.5,8.1,34.2,64.6,22.8,6.7,0.15,22.2751,114.2555833,16,-4.399999999999999
1032,EM1,Eastern Buffer,2007-08-06,14.0,5.0,8.2,30.2,11.2,27.3,2.6,0.13,Bottom Water,5.3,3.8,7.9,33.8,14.6,23.2,9.4,0.17,22.2751,114.2555833,16,-4.100000000000001
1033,EM1,Eastern Buffer,2007-09-03,5.7,5.1,8.1,31.8,11.7,26.3,1.0,0.21,Bottom Water,1.5,3.1,8.0,34.2,15.2,22.5,5.8,0.14,22.2751,114.2555833,16,-3.8000000000000007
1042,EM1,Eastern Buffer,2008-06-12,25.0,6.5,8.4,26.3,12.1,26.7,4.8,0.74,Bottom Water,0.7,4.6,8.3,33.6,10.7,25.3,3.7,0.16,22.2751,114.2555833,16,-1.3999999999999986
1043,EM1,Eastern Buffer,2008-07-03,4.8,3.0,8.0,29.3,14.0,25.5,2.5,0.43,Bottom Water,1.7,3.6,8.0,33.9,16.2,23.5,5.9,0.13,22.2751,114.2555833,16,-2.0
1044,EM1,Eastern Buffer,2008-08-01,15.0,5.3,8.2,32.7,8.5,23.9,2.5,0.15,Bottom Water,5.2,4.0,8.1,34.0,9.9,22.2,5.2,0.13,22.2751,114.2555833,16,-1.6999999999999993
1045,EM1,Eastern Buffer,2008-09-25,0.7,4.1,8.1,31.7,13.1,27.1,6.5,0.19,Bottom Water,0.5,4.6,8.1,31.8,21.0,27.0,21.0,0.17,22.2751,114.2555833,16,-0.10000000000000142
1054,EM1,Eastern Buffer,2009-06-08,4.4,4.9,7.9,31.7,1.6,26.8,2.7,0.19,Bottom Water,1.9,4.5,7.9,32.6,4.4,26.4,6.4,0.11,22.2751,114.2555833,16,-0.40000000000000213
1055,EM1,Eastern Buffer,2009-07-03,9.3,5.0,7.6,25.2,2.0,27.3,3.1,0.64,Bottom Water,1.0,2.9,7.6,34.0,5.0,24.0,8.5,0.09,22.2751,114.2555833,16,-3.3000000000000007
1056,EM1,Eastern Buffer,2009-08-03,17.0,6.6,8.4,29.0,9.0,28.0,2.4,0.13,Bottom Water,1.3,2.6,8.1,33.5,10.6,23.7,5.1,0.18,22.2751,114.2555833,16,-4.300000000000001
1057,EM1,Eastern Buffer,2009-09-02,8.9,5.1,8.2,30.8,2.0,29.0,4.5,0.06,Bottom Water,5.0,3.4,7.9,32.7,6.7,25.0,11.0,0.19,22.2751,114.2555833,16,-4.0
1066,EM1,Eastern Buffer,2010-06-02,1.7,5.3,7.9,32.8,1.1,25.4,1.0,0.07,Bottom Water,1.9,5.1,7.9,32.9,3.4,25.5,4.0,0.06,22.2751,114.2555833,16,0.10000000000000142
1067,EM1,Eastern Buffer,2010-07-02,30.0,10.3,8.1,30.5,2.0,26.4,3.7,0.11,Bottom Water,21.0,4.2,7.9,34.2,4.7,23.0,5.8,0.16,22.2751,114.2555833,16,-3.3999999999999986
1068,EM1,Eastern Buffer,2010-08-02,53.0,11.6,8.5,30.4,3.5,27.3,4.2,0.03,Bottom Water,0.9,4.1,8.1,34.3,7.2,23.5,9.0,0.09,22.2751,114.2555833,16,-3.8000000000000007
1069,EM1,Eastern Buffer,2010-09-02,3.4,5.6,8.1,30.8,0.7,28.8,1.1,0.17,Bottom Water,1.1,3.0,7.9,32.5,2.1,25.7,2.6,0.23,22.2751,114.2555833,16,-3.1000000000000014
1078,EM1,Eastern Buffer,2011-06-15,3.8,4.0,7.8,29.7,4.9,26.9,6.2,0.51,Bottom Water,1.1,3.8,7.9,33.0,4.4,24.0,6.2,0.2,22.2751,114.2555833,16,-2.8999999999999986
1079,EM1,Eastern Buffer,2011-07-31,12.0,6.4,8.1,31.4,7.5,26.3,4.2,0.11,Bottom Water,7.3,4.8,8.0,32.1,9.3,25.0,5.2,0.14,22.2751,114.2555833,16,-1.3000000000000007
1080,EM1,Eastern Buffer,2011-08-22,7.5,6.1,8.1,30.7,1.6,26.7,2.3,0.25,Bottom Water,0.9,3.1,8.0,34.0,2.5,22.7,2.9,0.15,22.2751,114.2555833,16,-4.0
1081,EM1,Eastern Buffer,2011-09-16,0.9,5.1,8.1,32.1,2.3,29.3,3.3,0.14,Bottom Water,1.0,5.0,8.1,32.2,3.5,29.1,4.5,0.12,22.2751,114.2555833,16,-0.1999999999999993
1090,EM1,Eastern Buffer,2012-06-04,1.0,6.9,7.7,31.7,3.4,26.8,3.0,0.14,Bottom Water,0.5,7.1,7.7,31.8,2.9,26.7,3.4,0.13,22.2751,114.2555833,16,-0.10000000000000142
1091,EM1,Eastern Buffer,2012-07-06,3.7,6.2,7.5,29.2,21.2,27.2,2.3,0.39,Bottom Water,1.7,5.1,7.5,31.6,19.1,25.7,4.7,0.2,22.2751,114.2555833,16,-1.5
1092,EM1,Eastern Buffer,2012-08-06,0.9,4.4,7.9,31.4,0.8,27.1,0.9,0.25,Bottom Water,0.6,4.3,8.0,32.3,1.2,26.3,2.3,0.13,22.2751,114.2555833,16,-0.8000000000000007
1093,EM1,Eastern Buffer,2012-09-07,4.5,5.7,8.0,30.2,1.1,28.7,1.8,0.23,Bottom Water,1.5,4.5,8.0,30.4,3.2,28.2,2.6,0.25,22.2751,114.2555833,16,-0.5
1102,EM1,Eastern Buffer,2013-06-04,6.2,7.9,8.1,30.1,1.4,25.7,2.3,0.95,Bottom Water,0.3,3.9,7.9,33.9,1.9,23.4,1.9,0.11,22.2751,114.2555833,16,-2.3000000000000007
1103,EM1,Eastern Buffer,2013-07-03,4.1,5.9,8.2,25.2,1.0,27.9,2.2,0.53,Bottom Water,1.3,3.6,8.0,32.9,3.5,23.9,4.1,0.17,22.2751,114.2555833,16,-4.0
1104,EM1,Eastern Buffer,2013-08-01,34.0,8.3,8.2,29.3,1.7,28.2,3.8,0.17,Bottom Water,5.2,3.6,7.9,32.7,3.7,24.3,2.8,0.25,22.2751,114.2555833,16,-3.8999999999999986
1105,EM1,Eastern Buffer,2013-09-19,1.7,5.2,8.3,30.7,4.1,28.2,3.4,0.14,Bottom Water,1.6,5.7,8.3,30.9,3.8,28.0,5.1,0.07,22.2751,114.2555833,16,-0.1999999999999993
1114,EM1,Eastern Buffer,2014-06-09,2.9,6.9,8.2,29.9,1.0,27.0,1.6,0.18,Bottom Water,6.3,3.6,8.0,33.9,2.9,22.4,3.2,0.14,22.2751,114.2555833,16,-4.600000000000001
1115,EM1,Eastern Buffer,2014-07-03,22.0,8.7,8.3,28.6,1.3,28.6,2.6,0.19,Bottom Water,1.7,2.8,7.9,33.8,3.3,23.7,3.9,0.14,22.2751,114.2555833,16,-4.900000000000002
1116,EM1,Eastern Buffer,2014-08-01,10.0,4.7,7.9,31.2,0.6,26.9,2.8,0.23,Bottom Water,0.2,3.4,7.7,34.2,3.1,22.7,2.8,0.13,22.2751,114.2555833,16,-4.199999999999999
1117,EM1,Eastern Buffer,2014-09-08,2.7,3.9,7.7,31.9,4.1,28.0,12.0,0.19,Bottom Water,4.3,4.5,7.6,31.9,10.5,27.7,7.2,0.2,22.2751,114.2555833,16,-0.3000000000000007
1126,EM1,Eastern Buffer,2015-06-17,10.0,4.9,7.9,32.5,5.2,24.3,12.0,0.25,Bottom Water,2.0,3.6,7.9,34.2,3.6,22.9,2.0,0.13,22.2751,114.2555833,16,-1.4000000000000021
1127,EM1,Eastern Buffer,2015-07-10,0.9,6.8,8.3,32.9,2.9,26.8,3.2,0.03,Bottom Water,1.9,5.1,8.2,33.3,3.9,24.7,3.3,0.11,22.2751,114.2555833,16,-2.1000000000000014
1128,EM1,Eastern Buffer,2015-08-05,22.0,6.0,7.9,32.2,3.6,25.8,3.7,0.12,Bottom Water,4.4,3.8,7.8,34.2,4.6,22.6,4.5,0.08,22.2751,114.2555833,16,-3.1999999999999993
1129,EM1,Eastern Buffer,2015-09-21,0.8,4.4,8.0,31.6,1.9,28.3,20.0,0.51,Bottom Water,0.9,4.9,8.1,32.9,2.1,28.0,12.0,0.25,22.2751,114.2555833,16,-0.3000000000000007
1138,EM1,Eastern Buffer,2016-06-01,5.5,5.7,7.8,29.4,0.9,27.4,12.0,0.31,Bottom Water,1.1,5.1,7.6,31.4,1.5,26.8,9.9,0.06,22.2751,114.2555833,16,-0.5999999999999979
