,station,site,date,chla_surf,diss_o_surf,ph_surf,salinity_surf,turbidity_surf,temp_surf,suspended_solids_surf,nitrates_surf,depth_bott,chla_bott,diss_o_bott,ph_bott,salinity_bott,turbidity_bott,temp_bott,suspended_solids_bott,nitrates_bott,latitude,longitude,depth_m,temp_delta
939,EM1,Eastern Buffer,1999-11-01,2.4,3.9,7.7,31.5,7.3,25.9,4.2,0.62,Bottom Water,1.5,3.9,7.7,31.6,7.4,25.8,4.6,0.5,22.2751,114.2555833,16,-0.09999999999999787
940,EM1,Eastern Buffer,1999-12-01,2.0,5.2,7.7,31.1,6.9,22.1,3.2,0.43,Bottom Water,1.0,6.0,7.8,31.3,7.5,21.8,4.0,0.25,22.2751,114.2555833,16,-0.3000000000000007
941,EM1,Eastern Buffer,2000-01-03,5.1,7.0,7.6,30.2,6.6,17.5,3.5,0.6,Bottom Water,5.9,5.3,7.6,30.5,6.1,17.1,3.0,0.38,22.2751,114.2555833,16,-0.3999999999999986
942,EM1,Eastern Buffer,2000-02-10,0.9,7.6,8.0,31.6,5.8,15.6,2.4,0.18,Bottom Water,1.8,7.6,8.0,31.7,8.0,15.5,3.4,0.17,22.2751,114.2555833,16,-0.09999999999999964
951,EM1,Eastern Buffer,2000-11-14,0.5,4.7,7.8,32.6,6.3,23.2,2.2,0.25,Bottom Water,2.2,5.8,7.8,32.8,10.5,23.0,7.6,0.14,22.2751,114.2555833,16,-0.1999999999999993
952,EM1,Eastern Buffer,2000-12-01,3.5,5.1,7.7,32.4,5.4,22.0,1.8,0.39,Bottom Water,3.5,6.3,7.8,32.5,7.6,21.8,4.6,0.19,22.2751,114.2555833,16,-0.1999999999999993
953,EM1,Eastern Buffer,2001-01-03,3.2,6.6,7.9,31.2,5.7,19.1,2.6,0.39,Bottom Water,2.2,7.1,8.0,31.4,9.1,18.9,7.3,0.2,22.2751,114.2555833,16,-0.20000000000000284
954,EM1,Eastern Buffer,2001-02-01,0.5,4.8,8.2,31.7,6.8,16.8,1.9,0.4,Bottom Water,0.2,6.6,8.3,31.9,13.7,16.5,8.9,0.21,22.2751,114.2555833,16,-0.3000000000000007
963,EM1,Eastern Buffer,2001-11-01,14.0,5.6,8.2,31.9,6.7,26.1,3.0,0.17,Bottom Water,10.0,5.6,8.2,32.0,7.9,25.7,3.0,0.15,22.2751,114.2555833,16,-0.40000000000000213
964,EM1,Eastern Buffer,2001-12-03,1.2,5.0,8.1,32.0,7.3,21.6,3.2,0.26,Bottom Water,2.5,5.3,8.2,32.1,9.0,21.4,3.9,0.18,22.2751,114.2555833,16,-0.20000000000000284
965,EM1,Eastern Buffer,2002-01-02,1.0,7.5,8.1,33.0,12.8,17.4,2.3,0.2,Bottom Water,0.2,7.9,8.1,33.1,19.8,17.5,4.6,0.19,22.2751,114.2555833,16,0.10000000000000142
966,EM1,Eastern Buffer,2002-02-18,4.1,8.0,8.0,33.0,15.6,17.6,1.5,0.12,Bottom Water,3.2,7.8,8.0,33.0,15.7,17.5,3.9,0.09,22.2751,114.2555833,16,-0.10000000000000142
975,EM1,Eastern Buffer,2002-11-21,1.6,5.8,7.9,33.2,12.1,22.6,2.9,0.18,Bottom Water,1.6,6.7,7.9,33.4,13.7,22.6,3.4,0.17,22.2751,114.2555833,16,0.0
976,EM1,Eastern Buffer,2002-12-23,1.2,7.3,8.1,33.9,13.1,19.7,2.4,0.11,Bottom Water,1.7,8.2,8.1,34.0,14.7,19.7,3.2,0.09,22.2751,114.2555833,16,0.0
977,EM1,Eastern Buffer,2003-01-02,1.6,6.3,7.9,32.9,8.1,18.6,2.9,0.04,Bottom Water,1.5,6.1,7.9,32.9,8.4,18.6,3.0,0.05,22.2751,114.2555833,16,0.0
978,EM1,Eastern Buffer,2003-02-14,1.1,7.9,8.3,32.8,3.1,17.1,1.5,0.07,Bottom Water,0.8,8.3,8.3,32.9,5.6,17.1,1.4,0.06,22.2751,114.2555833,16,0.0
987,EM1,Eastern Buffer,2003-11-14,2.3,5.2,8.2,32.9,8.4,24.4,3.0,0.11,Bottom Water,1.7,6.0,8.2,33.1,11.9,24.3,9.4,0.05,22.2751,114.2555833,16,-0.09999999999999787
988,EM1,Eastern Buffer,2003-12-03,1.2,5.2,8.2,33.4,10.9,22.1,2.8,0.19,Bottom Water,1.2,6.0,8.2,33.6,9.0,22.0,3.5,0.12,22.2751,114.2555833,16,-0.10000000000000142
989,EM1,Eastern Buffer,2004-01-09,6.3,8.2,8.3,33.3,9.7,18.3,1.7,0.04,Bottom Water,6.5,8.0,8.3,33.4,7.2,18.1,2.2,0.05,22.2751,114.2555833,16,-0.1999999999999993
990,EM1,Eastern Buffer,2004-02-16,2.3,7.4,8.2,34.0,4.8,17.7,1.0,0.06,Bottom Water,1.9,7.3,8.2,33.9,5.3,17.0,1.3,0.07,22.2751,114.2555833,16,-0.6999999999999993
999,EM1,Eastern Buffer,2004-11-01,2.9,5.5,8.0,32.6,7.7,25.5,1.9,0.19,Bottom Water,1.8,5.1,8.1,33.0,11.7,25.0,6.6,0.09,22.2751,114.2555833,16,-0.5
1000,EM1,Eastern Buffer,2004-12-01,1.8,5.7,8.1,33.1,10.8,22.5,5.5,0.16,Bottom Water,1.4,6.0,8.1,33.3,19.4,22.4,20.0,0.1,22.2751,114.2555833,16,-0.10000000000000142
1001,EM1,Eastern Buffer,2005-01-05,1.7,6.1,8.2,33.0,7.9,17.7,1.8,0.16,Bottom Water,1.2,6.5,8.2,33.0,9.3,17.7,3.1,0.16,22.2751,114.2555833,16,0.0
1002,EM1,Eastern Buffer,2005-02-02,1.3,6.9,8.0,32.3,7.2,16.1,0.8,0.17,Bottom Water,0.5,6.8,8.0,32.3,7.8,16.1,1.7,0.18,22.2751,114.2555833,16,0.0
1011,EM1,Eastern Buffer,2005-11-17,1.6,6.5,8.1,33.1,10.8,25.0,4.1,0.12,Bottom Water,1.2,6.7,8.1,33.2,11.5,24.9,3.9,0.09,22.2751,114.2555833,16,-0.10000000000000142
1012,EM1,Eastern Buffer,2005-12-01,1.0,5.2,8.0,33.1,10.7,23.1,2.6,0.16,Bottom Water,1.2,5.0,8.1,33.2,15.1,23.0,5.4,0.13,22.2751,114.2555833,16,-0.10000000000000142
1013,EM1,Eastern Buffer,2006-01-03,5.8,7.5,8.1,32.7,9.2,18.0,1.5,0.12,Bottom Water,5.2,7.9,8.1,32.8,12.0,17.8,3.0,0.12,22.2751,114.2555833,16,-0.1999999999999993
1014,EM1,Eastern Buffer,2006-02-01,1.0,6.6,8.1,32.7,10.4,17.4,1.5,0.17,Bottom Water,0.8,7.1,8.1,32.8,11.4,17.3,2.0,0.13,22.2751,114.2555833,16,-0.09999999999999787
1023,EM1,Eastern Buffer,2006-11-01,2.4,6.1,8.0,32.8,12.8,26.6,3.6,0.17,Bottom Water,2.0,6.5,8.0,33.0,43.6,26.6,7.6,0.14,22.2751,114.2555833,16,0.0
1024,EM1,Eastern Buffer,2006-12-01,1.9,6.1,7.8,32.8,11.3,23.6,2.6,0.2,Bottom Water,2.1,6.6,7.8,33.1,11.8,23.5,2.5,0.1,22.2751,114.2555833,16,-0.10000000000000142
1025,EM1,Eastern Buffer,2007-01-02,1.7,6.8,7.8,33.4,11.3,19.5,2.3,0.12,Bottom Water,1.3,6.8,7.8,33.5,11.5,19.4,2.1,0.1,22.2751,114.2555833,16,-0.10000000000000142
1026,EM1,Eastern Buffer,2007-02-01,5.2,7.8,8.3,33.1,8.4,17.1,1.7,0.12,Bottom Water,5.6,8.0,8.3,33.1,8.2,17.0,1.5,0.11,22.2751,114.2555833,16,-0.10000000000000142
1035,EM1,Eastern Buffer,2007-11-01,2.1,5.2,8.1,32.8,7.9,25.2,4.0,0.19,Bottom Water,2.1,5.7,8.1,32.9,4.0,25.2,8.6,0.15,22.2751,114.2555833,16,0.0
1036,EM1,Eastern Buffer,2007-12-03,2.3,5.6,8.0,31.7,7.2,20.7,2.1,0.35,Bottom Water,1.2,6.1,8.0,31.8,8.1,20.5,1.9,0.29,22.2751,114.2555833,16,-0.1999999999999993
1037,EM1,Eastern Buffer,2008-01-02,2.4,7.0,8.2,31.6,7.1,18.5,2.4,0.2,Bottom Water,1.4,7.0,8.1,31.6,7.3,18.4,2.8,0.2,22.2751,114.2555833,16,-0.10000000000000142
1038,EM1,Eastern Buffer,2008-02-01,0.7,7.2,8.1,32.2,7.3,16.0,2.1,0.18,Bottom Water,0.9,7.2,8.1,32.2,7.7,16.0,3.2,0.19,22.2751,114.2555833,16,0.0
1047,EM1,Eastern Buffer,2008-11-06,0.5,5.5,8.1,32.1,2.9,26.7,3.5,0.15,Bottom Water,0.4,5.9,8.1,32.3,4.1,26.4,4.4,0.12,22.2751,114.2555833,16,-0.3000000000000007
1048,EM1,Eastern Buffer,2008-12-01,3.5,6.2,8.3,32.7,2.2,22.0,3.2,0.19,Bottom Water,1.7,6.6,8.3,32.9,4.9,21.9,5.4,0.12,22.2751,114.2555833,16,-0.10000000000000142
1049,EM1,Eastern Buffer,2009-01-02,1.0,7.0,8.0,33.3,2.6,18.9,2.7,0.12,Bottom Water,0.9,7.1,8.0,33.3,6.1,18.7,7.4,0.1,22.2751,114.2555833,16,-0.1999999999999993
1050,EM1,Eastern Buffer,2009-02-02,1.8,5.7,8.0,33.3,2.2,17.3,2.4,0.15,Bottom Water,1.3,6.2,8.0,33.4,5.0,17.4,6.8,0.11,22.2751,114.2555833,16,0.09999999999999787
1059,EM1,Eastern Buffer,2009-11-05,8.6,7.2,8.1,33.0,3.0,25.0,3.4,0.07,Bottom Water,7.4,7.0,8.1,33.1,4.5,24.9,5.4,0.04,22.2751,114.2555833,16,-0.10000000000000142
1060,EM1,Eastern Buffer,2009-12-01,1.0,6.9,7.9,33.2,1.9,21.6,2.3,0.11,Bottom Water,0.6,7.1,7.9,33.3,2.6,21.4,3.2,0.09,22.2751,114.2555833,16,-0.20000000000000284
1061,EM1,Eastern Buffer,2010-01-22,3.0,7.5,7.8,32.0,1.5,17.4,1.9,0.2,Bottom Water,1.7,8.0,7.8,32.3,2.6,17.2,3.1,0.14,22.2751,114.2555833,16,-0.1999999999999993
1062,EM1,Eastern Buffer,2010-02-19,1.3,6.6,8.0,32.3,4.9,16.7,1.5,0.13,Bottom Water,1.8,7.5,8.0,32.7,5.6,16.5,2.4,0.12,22.2751,114.2555833,16,-0.1999999999999993
1071,EM1,Eastern Buffer,2010-11-04,1.1,5.8,7.9,32.4,5.3,23.6,6.3,0.15,Bottom Water,0.9,6.0,7.9,32.5,5.7,23.6,9.1,0.14,22.2751,114.2555833,16,0.0
1072,EM1,Eastern Buffer,2010-12-15,0.7,6.4,8.1,32.7,3.9,20.8,2.2,0.13,Bottom Water,0.5,6.6,8.1,32.8,5.1,20.9,4.7,0.14,22.2751,114.2555833,16,0.09999999999999787
1073,EM1,Eastern Buffer,2011-01-03,0.9,6.7,7.8,33.0,3.6,18.0,3.9,0.15,Bottom Water,0.7,6.9,7.8,33.1,7.6,18.1,7.2,0.14,22.2751,114.2555833,16,0.10000000000000142
1074,EM1,Eastern Buffer,2011-02-10,1.2,8.0,7.8,31.8,0.9,15.7,1.4,0.25,Bottom Water,0.9,7.9,7.8,31.8,2.2,15.2,3.0,0.25,22.2751,114.2555833,16,-0.5
1083,EM1,Eastern Buffer,2011-11-07,1.0,5.9,7.9,32.8,2.5,25.6,2.8,0.19,Bottom Water,0.4,6.0,7.9,32.8,2.1,25.5,2.6,0.16,22.2751,114.2555833,16,-0.10000000000000142
1084,EM1,Eastern Buffer,2011-12-02,0.3,6.5,7.7,32.2,2.5,22.1,3.5,0.23,Bottom Water,0.2,6.5,7.7,32.2,4.3,22.0,6.7,0.21,22.2751,114.2555833,16,-0.10000000000000142
1085,EM1,Eastern Buffer,2012-01-09,4.1,8.2,8.0,30.8,1.2,17.5,2.0,0.31,Bottom Water,4.3,8.2,8.0,31.0,3.2,16.8,4.8,0.28,22.2751,114.2555833,16,-0.6999999999999993
1086,EM1,Eastern Buffer,2012-02-02,1.3,7.9,8.1,31.7,0.6,16.2,0.5,0.2,Bottom Water,1.2,8.2,8.0,31.8,1.0,16.2,1.0,0.21,22.2751,114.2555833,16,0.0
1095,EM1,Eastern Buffer,2012-11-02,0.5,5.6,7.8,32.5,3.2,25.2,3.9,0.18,Bottom Water,0.3,6.1,7.8,32.6,6.3,25.1,13.0,0.13,22.2751,114.2555833,16,-0.09999999999999787
1096,EM1,Eastern Buffer,2012-12-08,0.7,5.4,7.7,32.8,1.7,21.1,1.6,0.27,Bottom Water,0.9,6.5,7.7,33.0,2.3,21.1,2.0,0.21,22.2751,114.2555833,16,0.0
1097,EM1,Eastern Buffer,2013-01-11,0.9,7.7,8.0,32.8,5.7,17.7,1.4,0.18,Bottom Water,0.7,7.7,8.0,32.9,7.0,17.5,1.3,0.16,22.2751,114.2555833,16,-0.1999999999999993
1098,EM1,Eastern Buffer,2013-02-23,3.0,8.0,7.9,32.1,1.4,18.0,1.2,0.12,Bottom Water,3.0,8.3,7.9,32.1,1.2,18.0,1.1,0.13,22.2751,114.2555833,16,0.0
1107,EM1,Eastern Buffer,2013-11-04,3.1,4.6,8.0,32.1,3.0,24.9,3.6,0.12,Bottom Water,2.8,6.4,8.1,32.3,3.8,25.0,4.9,0.1,22.2751,114.2555833,16,0.10000000000000142
1108,EM1,Eastern Buffer,2013-12-07,2.4,7.2,7.8,32.9,1.6,21.0,3.2,0.23,Bottom Water,1.1,6.7,7.9,33.1,3.4,20.9,3.6,0.2,22.2751,114.2555833,16,-0.10000000000000142
1109,EM1,Eastern Buffer,2014-01-08,0.4,5.6,8.0,33.0,2.0,17.3,0.9,0.16,Bottom Water,0.2,7.5,8.1,33.1,2.6,17.0,1.9,0.15,22.2751,114.2555833,16,-0.3000000000000007
1110,EM1,Eastern Buffer,2014-02-05,6.4,6.6,8.0,33.1,1.5,18.0,2.5,0.09,Bottom Water,7.6,8.5,8.0,33.2,2.2,18.2,4.7,0.1,22.2751,114.2555833,16,0.1999999999999993
1119,EM1,Eastern Buffer,2014-11-13,6.8,4.8,8.0,32.8,4.3,24.6,2.7,0.14,Bottom Water,2.1,6.5,8.0,33.0,5.1,24.5,5.2,0.09,22.2751,114.2555833,16,-0.10000000000000142
1120,EM1,Eastern Buffer,2014-12-05,7.1,6.9,7.9,32.5,2.3,21.8,2.0,0.07,Bottom Water,28.0,7.1,8.0,32.6,1.8,21.8,2.6,0.07,22.2751,114.2555833,16,0.0
1121,EM1,Eastern Buffer,2015-01-02,2.4,7.8,7.9,32.0,5.2,17.6,1.3,0.11,Bottom Water,2.7,8.1,7.9,32.0,4.8,17.6,1.6,0.1,22.2751,114.2555833,16,0.0
1122,EM1,Eastern Buffer,2015-02-02,3.2,7.6,7.8,31.9,1.6,16.8,1.1,0.15,Bottom Water,1.5,8.0,7.9,31.9,0.7,16.6,1.0,0.14,22.2751,114.2555833,16,-0.1999999999999993
1131,EM1,Eastern Buffer,2015-11-27,2.2,5.8,7.8,33.1,21.7,24.4,1.0,0.11,Bottom Water,2.0,6.7,7.9,33.2,4.2,24.4,2.8,0.08,22.2751,114.2555833,16,0.0
1132,EM1,Eastern Buffer,2015-12-12,0.8,6.4,8.2,33.2,2.5,21.9,4.0,0.09,Bottom Water,0.8,6.6,8.2,33.2,3.0,21.9,3.9,0.09,22.2751,114.2555833,16,0.0
1133,EM1,Eastern Buffer,2016-01-04,1.4,7.3,7.6,31.7,2.3,19.4,0.6,0.19,Bottom Water,1.3,7.1,7.6,31.9,2.3,19.5,0.5,0.23,22.2751,114.2555833,16,0.10000000000000142
