"Water Control Zone","Station","Dates","Sample No","Depth","Chlorophyll-a (μg/L)","Dissolved Oxygen (mg/L)","pH","Salinity (psu)","Turbidity (NTU)","Temperature (°C)","Suspended Solids (mg/L)","Total Inorganic Nitrogen (mg/L)"
"North Western","NM1","1992-05-11","1","Surface Water","1.6","5.9","8.1","20.6","3.9","23.7","7.5","0.64"
"North Western","NM1","1992-05-11","1","Middle Water","0.5","5.5","8.1","25.7","4.9","23.4","4","0.37"
"North Western","NM1","1992-05-11","1","Bottom Water","1.3","5.3","8.1","27.4","4.2","23.1","4","0.27"
"North Western","NM1","1992-07-24","1","Surface Water","0.5","6.2","7.7","23.2","4.7","27","3","0.39"
"North Western","NM1","1992-07-24","1","Middle Water","<0.2","5.3","7.6","27.3","8.1","25.6","9.5","0.27"
"North Western","NM1","1992-07-24","1","Bottom Water","0.5","5.3","7.6","27.9","9.4","25.6","10","0.37"
"North Western","NM1","1992-09-18","1","Surface Water","<0.2","8.4","7.8","29.3","7.9","22.9","23","0.38"
"North Western","NM1","1992-09-18","1","Middle Water","1.1","6.2","7.8","30.1","20","22.3","28","0.33"
"North Western","NM1","1992-09-18","1","Bottom Water","0.5","10.4","7.9","30.3","22","22.3","25","0.32"
"North Western","NM1","1992-11-09","1","Surface Water","0.3","7","7.9","32.6","14","23.4","16","0.57"
"North Western","NM1","1992-11-09","1","Middle Water","<0.2","7.8","7.9","32.7","14","23.3","20","0.55"
"North Western","NM1","1992-11-09","1","Bottom Water","<0.2","8.1","8","32.8","14","23.3","22","0.61"
"North Western","NM1","1993-01-11","1","Surface Water","0.4","7","7.9","31.9","30","19.6","44","0.38"
"North Western","NM1","1993-01-11","1","Middle Water","0.3","7.5","8.6","32","40","19.6","61","0.4"
"North Western","NM1","1993-01-11","1","Bottom Water","0.2","9.1","8","32.1","39","19.6","41","0.4"
"North Western","NM1","1993-03-05","1","Surface Water","0.4","7.3","8.1","33.4","5.8","17.7","7","0.32"
"North Western","NM1","1993-03-05","1","Middle Water","0.2","7.3","8.2","33.2","5.6","17.5","7.5","0.34"
"North Western","NM1","1993-03-05","1","Bottom Water","0.4","7.4","8.2","33.3","6.1","17","6.5","0.27"
"North Western","NM1","1993-05-21","1","Surface Water","0.4","7.6","8.1","20","7.9","27.1","6","0.85"
"North Western","NM1","1993-05-21","1","Middle Water","0.5","5.8","8.2","28.9","4.6","25.8","3.5","0.41"
"North Western","NM1","1993-05-21","1","Bottom Water","0.5","5.6","8.3","30.9","10.9","25.6","4","0.48"
"North Western","NM1","1993-07-06","1","Surface Water","0.5","8","8.5","13.7","8","28.6","6","0.94"
"North Western","NM1","1993-07-06","1","Middle Water","0.4","5.6","8.4","28.9","9.4","25.7","6.5","0.48"
"North Western","NM1","1993-07-06","1","Bottom Water","0.6","5.6","8.4","31","71.9","25.2","15","0.25"
"North Western","NM1","1993-09-13","1","Surface Water","1.2","6.7","8.2","22.2","4.6","29.2","5.5","0.5"
"North Western","NM1","1993-09-13","1","Middle Water","0.6","5.4","8.1","28.7","5.5","28.1","16","0.4"
"North Western","NM1","1993-09-13","1","Bottom Water","1","5","8.1","31.2","26.6","27.9","10","0.42"
"North Western","NM1","1993-11-08","1","Surface Water","1","7","8.2","29.1","11.6","23.7","47","0.57"
"North Western","NM1","1993-11-08","1","Middle Water","0.6","6.7","8.2","30.3","5.9","23.6","53","0.57"
"North Western","NM1","1993-11-08","1","Bottom Water","0.3","6.4","8.2","31.3","11.5","23.7","10","0.55"
"North Western","NM1","1994-01-05","1","Surface Water","0.7","6.9","8.1","31.1","12","17.9","39","0.33"
"North Western","NM1","1994-01-05","1","Middle Water","<0.2","6.8","8.1","31.1","20.5","17.8","37","0.34"
"North Western","NM1","1994-01-05","1","Bottom Water","<0.2","6.6","8.1","31.1","19.7","17.8","40","0.32"
"North Western","NM1","1994-03-11","1","Surface Water","0.6","6.6","8.4","32.7","5.7","17.7","12","0.32"
"North Western","NM1","1994-03-11","1","Middle Water","1.1","6.6","8.4","32.8","10.4","17.7","17","0.31"
"North Western","NM1","1994-03-11","1","Bottom Water","0.8","6.5","8.4","32.8","13.7","17.7","26","0.29"
"North Western","NM1","1994-05-04","1","Surface Water","0.2","5.5","8.2","18.1","4.4","26.2","12","0.94"
"North Western","NM1","1994-05-04","1","Middle Water","0.4","4.9","8.2","31.9","4.2","24.3","3.8","0.42"
"North Western","NM1","1994-05-04","1","Bottom Water","0.8","4.9","8.2","32.9","3.5","24","16","0.56"
"North Western","NM1","1994-07-11","1","Surface Water","3.5","4.8","8","20.1","4.3","28.6","3.5","0.55"
"North Western","NM1","1994-07-11","1","Middle Water","4.6","3.8","8","28.2","4.5","26.8","4.6","0.47"
"North Western","NM1","1994-07-11","1","Bottom Water","3.7","3.4","8","29.4","5.1","26.4","4.4","0.51"
"North Western","NM1","1994-09-15","1","Surface Water","0.5","6.5","8.1","28.3","7.2","27.1","4.5","0.32"
"North Western","NM1","1994-09-15","1","Middle Water","0.8","6.2","8","29.6","9.8","26.8","5.9","0.34"
"North Western","NM1","1994-09-15","1","Bottom Water","0.3","5.2","8","30.4","12.2","26.9","9.3","0.32"
"North Western","NM1","1994-11-04","1","Surface Water","0.8","5.3","8.4","32.5","26.7","24.3","46","0.22"
"North Western","NM1","1994-11-04","1","Middle Water","0.9","5.1","8.5","32.4","31.4","24.3","62","0.23"
"North Western","NM1","1994-11-04","1","Bottom Water","0.9","5.1","8.5","32.4","35.5","24.3","62","0.2"
"North Western","NM1","1995-01-05","1","Surface Water","0.3","5.8","7.9","33.2","23.8","19.2","51","0.29"
"North Western","NM1","1995-01-05","1","Middle Water","<0.2","5.7","8","33.2","24.7","19.1","40","0.28"
"North Western","NM1","1995-01-05","1","Bottom Water","0.5","5.7","8","33.2","25.4","19.1","28","0.29"
"North Western","NM1","1995-03-08","1","Surface Water","0.8","7.2","8.1","31","8.3","15.9","23","0.35"
"North Western","NM1","1995-03-08","1","Middle Water","0.7","7.2","8.1","31.1","8","15.7","24","0.34"
"North Western","NM1","1995-03-08","1","Bottom Water","0.5","7.3","8.1","31","8.9","15.8","25","0.37"
"North Western","NM1","1995-05-03","1","Surface Water","7.7","9.1","8.3","27.4","2.7","24.6","5.5","0.23"
"North Western","NM1","1995-05-03","1","Middle Water","5.5","8.2","8.2","31.3","3","23.4","7.3","0.11"
"North Western","NM1","1995-05-03","1","Bottom Water","5","8.1","8.2","31.6","5.8","23.3","8.6","0.11"
"North Western","NM1","1995-07-05","1","Surface Water","1.8","4.8","8","23.8","14","26","4.4","0.54"
"North Western","NM1","1995-07-05","1","Middle Water","1.5","4","8","24.8","14","24.1","6.1","0.38"
"North Western","NM1","1995-07-05","1","Bottom Water","1.1","3.8","8","32.4","14","23.8","4.9","0.44"
"North Western","NM1","1995-09-07","1","Surface Water","2","5.8","8.1","20.5","2.5","28.5","3.5","0.56"
"North Western","NM1","1995-09-07","1","Middle Water","1.3","5.2","8","25.8","7.4","27.8","10","0.4"
"North Western","NM1","1995-09-07","1","Bottom Water","1.6","4.8","8","28","20.1","27.5","14","0.38"
"North Western","NM1","1995-11-03","1","Surface Water","2","6.2","8.3","30.9","4.2","24.9","2.7","0.14"
"North Western","NM1","1995-11-03","1","Middle Water","1.7","6.2","8.3","31.7","3.7","24.9","3.1","0.14"
"North Western","NM1","1995-11-03","1","Bottom Water","1.5","6.2","8.3","32.2","4","25.2","2.2","0.15"
"North Western","NM1","1996-01-08","1","Surface Water","1.6","4.7","8.3","33.8","5.9","18.5","9","0.24"
"North Western","NM1","1996-01-08","1","Middle Water","1.3","4.9","8.3","33.7","7","18.4","11","0.23"
"North Western","NM1","1996-01-08","1","Bottom Water","1.4","4.9","8.3","33.7","6.7","18.4","14","0.23"
"North Western","NM1","1996-03-04","1","Surface Water","0.6","5.3","8.3","34.1","4.1","17","4.1","0.2"
"North Western","NM1","1996-03-04","1","Middle Water","0.4","6.4","8.3","34.1","4.5","16.8","5.6","0.21"
"North Western","NM1","1996-03-04","1","Bottom Water","0.4","6.5","8.3","34.1","5.2","16.8","7.6","0.2"
"North Western","NM1","1996-05-03","1","Surface Water","0.9","7","8.3","25.9","5.4","23.5","5","0.43"
"North Western","NM1","1996-05-03","1","Middle Water","1","6.8","8.3","30.1","5.4","22.3","5.9","0.37"
"North Western","NM1","1996-05-03","1","Bottom Water","0.7","6.8","8.2","30.5","9.5","22.2","6.2","0.26"
"North Western","NM1","1996-07-12","1","Surface Water","6","7.3","7.9","8.1","3.7","28.4","5.9","0.78"
"North Western","NM1","1996-07-12","1","Middle Water","2.4","4.7","7.8","29.7","3.3","25.4","5.2","0.76"
"North Western","NM1","1996-07-12","1","Bottom Water","1.4","3.5","7.8","32.3","10.3","24.7","4.4","0.26"
"North Western","NM1","1996-09-04","1","Surface Water","2.3","5.2","7.9","25.3","1.7","26.8","4","0.43"
"North Western","NM1","1996-09-04","1","Middle Water","2","4.1","7.9","30.5","3.4","25","4","0.41"
"North Western","NM1","1996-09-04","1","Bottom Water","1.4","3.2","7.9","32.5","6.1","24","4.7","0.35"
"North Western","NM1","1996-11-04","1","Surface Water","1.2","5.5","7.9","30.6","2.3","26.2","4.4","0.3"
"North Western","NM1","1996-11-04","1","Middle Water","1","5.6","7.9","31.3","2","25.9","5.6","0.29"
"North Western","NM1","1996-11-04","1","Bottom Water","0.9","5.4","7.9","31.9","3.1","26.1","5.2","0.3"
"North Western","NM1","1997-01-03","1","Surface Water","2.1","7.9","8.1","29.4","1","19.2","2.2","0.39"
"North Western","NM1","1997-01-03","1","Middle Water","1.3","7.2","8.1","30.2","0.5","19.3","2.2","0.36"
"North Western","NM1","1997-01-03","1","Bottom Water","1.3","7","8.1","30.7","0.9","19.3","2.5","0.35"
"North Western","NM1","1997-03-19","1","Surface Water","1","6.5","8.2","31.2","3.9","19.8","3.4","0.23"
"North Western","NM1","1997-03-19","1","Middle Water","1.1","6.9","8.2","31.7","3.9","19.6","3.2","0.37"
"North Western","NM1","1997-03-19","1","Bottom Water","1","6.3","8.2","31.8","3.9","19.6","3.5","0.27"
"North Western","NM1","1997-05-02","1","Surface Water","3.2","7","7.7","22.1","5.3","24.5","3.7","0.68"
"North Western","NM1","1997-05-02","1","Middle Water","1.2","6.1","7.7","30.1","5.5","23.1","3.8","0.55"
"North Western","NM1","1997-05-02","1","Bottom Water","0.6","5.6","7.8","31.7","7.2","22.7","4.9","0.31"
"North Western","NM1","1997-07-14","1","Surface Water","3.2","7.7","8.2","8.6","3.6","27.9","4.9","0.7"
"North Western","NM1","1997-07-14","1","Middle Water","1.2","5.6","7.8","29.1","3.2","24.1","3.4","0.44"
"North Western","NM1","1997-07-14","1","Bottom Water","0.6","4","7.9","32.2","3.9","23.3","4.8","0.28"
"North Western","NM1","1997-09-04","1","Surface Water","0.8","6.3","7.4","19.5","2.9","28.9","5.2","0.62"
"North Western","NM1","1997-09-04","1","Middle Water","0.4","5.4","7.5","23.4","2.9","27.9","6.1","0.46"
"North Western","NM1","1997-09-04","1","Bottom Water","1","4.3","7.6","28.1","3","26.8","5.8","0.44"
"North Western","NM1","1997-11-05","1","Surface Water","1.2","4.9","8.1","31.8","5.3","25","7.8","0.22"
"North Western","NM1","1997-11-05","1","Middle Water","1.3","4.9","8.1","31.9","6.4","25","9.1","0.22"
"North Western","NM1","1997-11-05","1","Bottom Water","0.7","4.9","8.1","31.9","5.8","25","13","0.22"
"North Western","NM1","1998-01-07","1","Surface Water","3.1","6.3","8.2","32.1","6.7","20.5","4.4","0.3"
"North Western","NM1","1998-01-07","1","Middle Water","2.5","6.4","8.2","32.6","6.2","20.5","4.3","0.25"
"North Western","NM1","1998-01-07","1","Bottom Water","2.9","6.5","8.2","32.6","6.2","20.5","3.7","0.26"
"North Western","NM1","1998-03-09","1","Surface Water","2.2","8.6","8","24.2","4.5","19.2","2","0.77"
"North Western","NM1","1998-03-09","1","Middle Water","1","8.3","7.9","30.7","4","17.8","3","0.66"
"North Western","NM1","1998-03-09","1","Bottom Water","1.3","8.3","7.9","31.1","4.3","17.6","2.8","0.55"
"North Western","NM1","1998-05-04","1","Surface Water","4.4","5.8","8","29","4.6","25.7","3","1.01"
"North Western","NM1","1998-05-04","1","Middle Water","1.3","4.7","7.9","30.8","4.2","24.5","2.6","0.27"
"North Western","NM1","1998-05-04","1","Bottom Water","1","4.7","7.9","32","5.1","24.3","3.2","0.22"
"North Western","NM1","1998-07-10","1","Surface Water","7.2","4.8","8.2","14.2","5.6","27.4","5.8","0.72"
"North Western","NM1","1998-07-10","1","Middle Water","6","4.2","8.1","21","5.5","26.4","8","0.59"
"North Western","NM1","1998-07-10","1","Bottom Water","5","2.7","8","30.4","24.9","24.4","6.1","0.54"
"North Western","NM1","1998-09-04","1","Surface Water","3.7","7.8","8.2","27.7","2.4","27.9","0.7","0.25"
"North Western","NM1","1998-09-04","1","Middle Water","4","5.7","8.1","30.8","3.5","26.5","1.3","0.22"
"North Western","NM1","1998-09-04","1","Bottom Water","5.2","4.7","8.1","31.8","3.4","25.9","1.2","0.25"
"North Western","NM1","1998-11-05","1","Surface Water","3.3","3.2","7.9","32.3","4.8","25.2","3.6","0.28"
"North Western","NM1","1998-11-05","1","Middle Water","1.3","3.1","7.9","32.3","5.1","25.1","6.4","0.3"
"North Western","NM1","1998-11-05","1","Bottom Water","1.4","3.1","7.9","32.3","15.6","25","10","0.28"
"North Western","NM1","1999-01-15","1","Surface Water","3.5","5.7","8.2","31.4","4.7","17.5","4","0.21"
"North Western","NM1","1999-01-15","1","Middle Water","1.8","5.6","8.3","31.4","4.3","17.5","4.2","0.2"
"North Western","NM1","1999-01-15","1","Bottom Water","1.8","5.6","8.3","31.4","4.7","17.5","3.9","0.19"
"North Western","NM1","1999-02-26","1","Surface Water","4","8.6","8.2","32.4","3.5","18.9","1.5","0.17"
"North Western","NM1","1999-02-26","1","Middle Water","2","8","8.2","32.4","3.2","18.9","1.9","0.16"
"North Western","NM1","1999-02-26","1","Bottom Water","1.9","7.8","8.2","32.4","3","18.9","1.4","0.17"
"North Western","NM1","1999-03-15","1","Surface Water","4.5","6.8","8.1","33.3","4.2","20","3.1","0.18"
"North Western","NM1","1999-03-15","1","Middle Water","1.5","6.9","8.1","33.3","4.4","20","3.4","0.18"
"North Western","NM1","1999-03-15","1","Bottom Water","1.6","6.9","8.1","33.3","4.5","20","5.7","0.17"
"North Western","NM1","1999-04-19","1","Surface Water","5.2","5.6","8","32","5.3","24.5","6.9","0.23"
"North Western","NM1","1999-04-19","1","Middle Water","3.9","5.5","8","32.4","7.1","24.3","12","0.23"
"North Western","NM1","1999-04-19","1","Bottom Water","3.6","5.5","8","32.6","6.1","24.2","11","0.24"
"North Western","NM1","1999-05-24","1","Surface Water","18","9","8.1","21","N/A","27.4","4.7","0.98"
"North Western","NM1","1999-05-24","1","Middle Water","5.3","6.4","8","30.1","N/A","25.8","2.8","0.38"
"North Western","NM1","1999-05-24","1","Bottom Water","5","6","8","31.4","N/A","25.4","2.8","0.37"
"North Western","NM1","1999-06-24","1","Surface Water","4.7","7.1","8","13","9.2","28.4","6.6","1.12"
"North Western","NM1","1999-06-24","1","Middle Water","1.4","3.7","7.9","28.8","7.9","26.1","2.9","0.48"
"North Western","NM1","1999-06-24","1","Bottom Water","1.2","2.9","7.9","31.7","16.4","25.2","12","0.34"
"North Western","NM1","1999-07-09","1","Surface Water","2.3","4.9","8","12.2","12.7","27.8","4.3","0.92"
"North Western","NM1","1999-07-09","1","Middle Water","1.2","3.3","7.9","30.9","12.9","24.8","5.6","0.53"
"North Western","NM1","1999-07-09","1","Bottom Water","0.3","2.4","7.9","32.5","17.2","24.1","11","0.26"
"North Western","NM1","1999-08-27","1","Surface Water","2","5.4","8","20.7","9.4","26.4","4.2","0.92"
"North Western","NM1","1999-08-27","1","Middle Water","0.8","5","8","28","12.3","25.3","9.6","0.31"
"North Western","NM1","1999-08-27","1","Bottom Water","1.4","5","8","29.2","16.2","25.1","16","0.28"
"North Western","NM1","1999-09-27","1","Surface Water","0.5","4.5","8.2","31.1","9.1","26.6","3.7","0.22"
"North Western","NM1","1999-09-27","1","Middle Water","0.9","4.7","8.3","31.1","31.5","26.5","18","0.22"
"North Western","NM1","1999-09-27","1","Bottom Water","<0.2","4.8","8.3","31.1","27.2","26.5","16","0.21"
"North Western","NM1","1999-10-25","1","Surface Water","3.3","5.2","7.9","31.8","11.2","26.5","12","0.2"
"North Western","NM1","1999-10-25","1","Middle Water","2.3","5.7","7.8","31.8","18.6","26.4","16","0.19"
"North Western","NM1","1999-10-25","1","Bottom Water","2.3","5.8","7.8","31.8","21.8","26.4","23","0.19"
"North Western","NM1","1999-11-12","1","Surface Water","1.7","6.3","7.8","31.6","6","24.5","6.9","0.35"
"North Western","NM1","1999-11-12","1","Middle Water","1.2","6.7","7.8","31.6","6.9","24.5","12","0.35"
"North Western","NM1","1999-11-12","1","Bottom Water","0.8","6.6","7.9","31.6","6.8","24.5","13","0.36"
"North Western","NM1","1999-12-03","1","Surface Water","2.6","5.9","7.8","31.3","6.3","22","3.6","0.22"
"North Western","NM1","1999-12-03","1","Middle Water","2.9","6.8","7.8","31.3","6.9","22","4.1","0.22"
"North Western","NM1","1999-12-03","1","Bottom Water","2.6","6.9","7.8","31.3","7.9","22","4.6","0.22"
"North Western","NM1","2000-01-12","1","Surface Water","15","7.3","7.9","29.5","5.5","18","1.8","0.28"
"North Western","NM1","2000-01-12","1","Middle Water","17","8.5","7.9","29.5","5.8","18","2.4","0.28"
"North Western","NM1","2000-01-12","1","Bottom Water","17","8.7","7.9","29.5","7.2","18","2.8","0.28"
"North Western","NM1","2000-02-17","1","Surface Water","3.7","6.7","8","31.8","5.9","17.2","2.2","0.2"
"North Western","NM1","2000-02-17","1","Middle Water","2.4","7.5","8","31.8","6.4","17.2","2.5","0.24"
"North Western","NM1","2000-02-17","1","Bottom Water","2.1","7.5","8","31.8","7","17.1","3.2","0.23"
"North Western","NM1","2000-03-17","1","Surface Water","4.4","6.9","7.8","30.3","5.1","17.3","1","0.34"
"North Western","NM1","2000-03-17","1","Middle Water","1.4","6.9","7.8","30.6","5.7","17","1.1","0.31"
"North Western","NM1","2000-03-17","1","Bottom Water","1.7","7","7.8","30.7","5.9","16.8","2.3","0.3"
"North Western","NM1","2000-04-27","1","Surface Water","4.6","6.9","8","19.8","8.3","24.9","3.4","1.27"
"North Western","NM1","2000-04-27","1","Middle Water","1.3","6.2","8","31.6","7.4","23","3","0.2"
"North Western","NM1","2000-04-27","1","Bottom Water","0.7","6.4","8","32.3","8.3","22.9","4.3","0.13"
"North Western","NM1","2000-05-19","1","Surface Water","4.3","4.3","8.1","28.2","6.7","25.8","3.8","0.38"
