"Water Control Zone","Station","Dates","Sample No","Depth","Chlorophyll-a (μg/L)","Dissolved Oxygen (mg/L)","pH","Salinity (psu)","Turbidity (NTU)","Temperature (°C)","Suspended Solids (mg/L)","Total Inorganic Nitrogen (mg/L)"
"Eastern Buffer","EM1","1989-05-08","1","Middle Water","2","4.5","8.2","32.3","13","22.7","5.5","0.25"
"Eastern Buffer","EM1","1989-05-08","1","Bottom Water","1.7","4.5","8.2","32.3","11.5","22.7","4.5","0.26"
"Eastern Buffer","EM1","1989-06-06","1","Surface Water","1.1","4.7","8.2","32.9","7.2","23.2","2","0.33"
"Eastern Buffer","EM1","1989-06-06","1","Middle Water","1.4","4.6","8.2","32.9","8","23.1","3.5","0.33"
"Eastern Buffer","EM1","1989-06-06","1","Bottom Water","1.1","4.8","8.2","33.3","6.8","22.9","8","0.31"
"Eastern Buffer","EM1","1989-07-10","1","Surface Water","11","6.8","8.8","28.8","4","26.8","0.5","0.03"
"Eastern Buffer","EM1","1989-07-10","1","Middle Water","14","6.3","8.8","30.4","4.4","25.6","4","0.04"
"Eastern Buffer","EM1","1989-07-10","1","Bottom Water","17","5.2","8.8","31.5","4.4","24.6","6.5","0.05"
"Eastern Buffer","EM1","1989-08-07","1","Surface Water","17","4.6","8.6","32.5","5","25","2","0.23"
"Eastern Buffer","EM1","1989-08-07","1","Middle Water","13","3.6","8.6","32.8","4.2","24.3","2","0.2"
"Eastern Buffer","EM1","1989-08-07","1","Bottom Water","3.2","3.9","8.6","33.8","8.5","22.8","6","0.22"
"Eastern Buffer","EM1","1989-09-08","1","Surface Water","1.5","6.6","8.8","30.3","2.1","28.7","3.5","0.09"
"Eastern Buffer","EM1","1989-09-08","1","Middle Water","1.5","6.6","8.8","30.3","2","28.5","2","0.09"
"Eastern Buffer","EM1","1989-09-08","1","Bottom Water","1","5.6","8.6","30.4","11","28.1","4.5","0.12"
"Eastern Buffer","EM1","1989-10-10","1","Surface Water","1.2","5.5","8.5","32.5","4.9","26.6","5","0.14"
"Eastern Buffer","EM1","1989-10-10","1","Middle Water","0.2","5.5","8.5","32.5","4.8","26.6","5.5","0.15"
"Eastern Buffer","EM1","1989-10-10","1","Bottom Water","0.4","5.4","8.5","32.5","6.3","26.5","9","0.14"
"Eastern Buffer","EM1","1989-11-06","1","Surface Water","3.1","4.3","8.3","32.2","2.6","24.9","2","0.36"
"Eastern Buffer","EM1","1989-11-06","1","Middle Water","3.2","5.6","8.3","32.6","2.8","24.9","2","0.33"
"Eastern Buffer","EM1","1989-11-06","1","Bottom Water","2.1","5.1","8.4","33.3","4.9","24.8","4.5","0.21"
"Eastern Buffer","EM1","1989-12-08","1","Surface Water","6.7","3.5","8.2","31.3","4","20.4","3","0.45"
"Eastern Buffer","EM1","1989-12-08","1","Middle Water","9.3","3.4","8.2","31.4","3.6","20.4","3.5","0.48"
"Eastern Buffer","EM1","1989-12-08","1","Bottom Water","7.2","3.3","8.2","31.4","4.3","20.3","0.5","0.44"
"Eastern Buffer","EM1","1990-01-05","1","Surface Water","7","6.2","8.2","31.5","4.5","17.9","2.5","0.22"
"Eastern Buffer","EM1","1990-01-05","1","Middle Water","1.4","6.1","8.2","31.6","4.2","17.9","3.5","0.22"
"Eastern Buffer","EM1","1990-01-05","1","Bottom Water","0.6","5.9","8.2","31.6","3.8","17.9","4","0.21"
"Eastern Buffer","EM1","1990-02-05","1","Surface Water","4.9","6.3","8.4","30.4","4","15.8","2","0.61"
"Eastern Buffer","EM1","1990-02-05","1","Middle Water","2.8","5.9","8.4","30.8","2.2","15.7","2","0.21"
"Eastern Buffer","EM1","1990-02-05","1","Bottom Water","<0.2","6.5","8.5","31.2","2.3","15.5","1","0.18"
"Eastern Buffer","EM1","1990-03-05","1","Surface Water","<0.2","7","8.5","30.9","2.4","16","1","0.27"
"Eastern Buffer","EM1","1990-03-05","1","Middle Water","0.3","6.4","8.6","31.3","2.4","15.9","2.5","0.19"
"Eastern Buffer","EM1","1990-03-05","1","Bottom Water","<0.2","6.3","8.6","31.4","2.8","15.8","3","0.24"
"Eastern Buffer","EM1","1990-04-02","1","Surface Water","0.8","5","8.2","31.8","3.1","18.6","2","0.4"
"Eastern Buffer","EM1","1990-04-02","1","Middle Water","1.1","5.6","8.2","32","3.6","18.1","1.5","0.19"
"Eastern Buffer","EM1","1990-04-02","1","Bottom Water","0.8","5.6","8.2","31.8","3.7","17.1","27","0.15"
"Eastern Buffer","EM1","1990-05-07","1","Surface Water","12","6.5","8.6","32.2","3.5","21.7","6.5","0.24"
"Eastern Buffer","EM1","1990-05-07","1","Middle Water","14","6.3","8.7","32.3","4.4","21.6","20","0.13"
"Eastern Buffer","EM1","1990-05-07","1","Bottom Water","10","5.9","8.7","32.3","4.5","21.6","9.5","0.23"
"Eastern Buffer","EM1","1990-06-04","1","Surface Water","2.1","4.4","8.2","32.2","4.5","25","4","0.4"
"Eastern Buffer","EM1","1990-06-04","1","Middle Water","0.8","4.5","8.2","32.3","14","24.8","8.5","0.32"
"Eastern Buffer","EM1","1990-06-04","1","Bottom Water","0.3","4.9","8.3","32.5","17","24.8","9.5","0.29"
"Eastern Buffer","EM1","1990-07-06","1","Surface Water","18","6.2","8.4","28.8","4.5","25.2","6","0.25"
"Eastern Buffer","EM1","1990-07-06","1","Middle Water","1.3","4","8.4","32.3","N/A","23.2","7.5","0.23"
"Eastern Buffer","EM1","1990-07-06","1","Bottom Water","8","4.6","8.4","33.7","5.2","22.6","6","0.23"
"Eastern Buffer","EM1","1990-08-06","1","Surface Water","6.7","5.5","8.4","29.7","2.3","27.5","1.5","0.23"
"Eastern Buffer","EM1","1990-08-06","1","Middle Water","<0.2","4.2","8.4","32","7","26.4","8","0.15"
"Eastern Buffer","EM1","1990-08-06","1","Bottom Water","<0.2","4.5","8.4","33.3","6.7","25.9","7","0.09"
"Eastern Buffer","EM1","1990-09-07","1","Surface Water","12","6.6","8.5","32.3","4.3","28","2.5","0.02"
"Eastern Buffer","EM1","1990-09-07","1","Middle Water","7.5","5.5","8.4","32.6","5.3","27.7","3.5","0.12"
"Eastern Buffer","EM1","1990-09-07","1","Bottom Water","0.8","4.8","8.4","32.9","8.6","27.3","6","0.09"
"Eastern Buffer","EM1","1990-10-08","1","Surface Water","1.6","3.6","8.2","31.3","5","28","5.5","0.09"
"Eastern Buffer","EM1","1990-10-08","1","Middle Water","0.8","4.6","8.2","31.8","8","27.8","6","0.09"
"Eastern Buffer","EM1","1990-10-08","1","Bottom Water","0.5","5.1","8.2","32","11","27.8","8","0.07"
"Eastern Buffer","EM1","1990-11-05","1","Surface Water","6.9","7.5","8.3","32.1","3.7","24.9","1.5","0.04"
"Eastern Buffer","EM1","1990-11-05","1","Middle Water","7.7","7.1","8.3","32.1","5.2","24.9","1","0.09"
"Eastern Buffer","EM1","1990-11-05","1","Bottom Water","6.1","7.3","8.3","32.3","5.3","24.8","3","0.07"
"Eastern Buffer","EM1","1990-12-06","1","Surface Water","0.8","6.1","8.1","32.6","3.2","19.1","11","0.21"
"Eastern Buffer","EM1","1990-12-06","1","Middle Water","1.3","6.4","8.1","32.5","3.7","19","13","0.19"
"Eastern Buffer","EM1","1990-12-06","1","Bottom Water","0.8","6.4","8.1","32.6","3.5","19","5","0.18"
"Eastern Buffer","EM1","1991-01-07","1","Surface Water","0.5","7.8","8.2","32.5","5.2","17.6","2","0.12"
"Eastern Buffer","EM1","1991-01-07","1","Middle Water","0.3","7.6","8.2","32.5","6.3","17.6","3","0.13"
"Eastern Buffer","EM1","1991-01-07","1","Bottom Water","<0.2","11.3","8.2","32.5","5.2","17.2","11","0.14"
"Eastern Buffer","EM1","1991-02-08","1","Surface Water","1.1","7.4","8.1","31.9","2","17.5","2.5","0.35"
"Eastern Buffer","EM1","1991-02-08","1","Middle Water","0.5","7.6","8.1","32.1","2","17.2","2","0.39"
"Eastern Buffer","EM1","1991-02-08","1","Bottom Water","0.5","7.7","8.2","32","1.9","17.2","2.5","0.29"
"Eastern Buffer","EM1","1991-03-05","1","Surface Water","0.5","7.3","8","31.7","3.1","16","5","0.27"
"Eastern Buffer","EM1","1991-03-05","1","Middle Water","0.3","7.7","8","31.9","2.6","15.9","2","0.22"
"Eastern Buffer","EM1","1991-03-05","1","Bottom Water","0.3","9.7","8.1","32.2","4.3","15.7","9.5","0.18"
"Eastern Buffer","EM1","1991-04-09","1","Surface Water","3.5","6.4","8","33.1","1.5","19.8","1","0.21"
"Eastern Buffer","EM1","1991-04-09","1","Middle Water","1.9","6.5","8","33.1","1.1","19.7","1","0.16"
"Eastern Buffer","EM1","1991-04-09","1","Bottom Water","1.3","6.6","8","33.2","3.5","19.6","1.5","0.13"
"Eastern Buffer","EM1","1991-05-06","1","Surface Water","0.3","6.4","8","33.5","4.5","22.7","3","0.1"
"Eastern Buffer","EM1","1991-05-06","1","Middle Water","0.5","5.8","8","33.4","4.3","22.3","2","0.14"
"Eastern Buffer","EM1","1991-05-06","1","Bottom Water","<0.2","5.9","8","33.4","5","22.2","5.5","0.14"
"Eastern Buffer","EM1","1991-06-03","1","Surface Water","1.9","6.3","8.2","31.9","1.3","25.6","2","0.22"
"Eastern Buffer","EM1","1991-06-03","1","Middle Water","<0.2","5.1","8.2","33.2","1.8","23.1","8.5","0.14"
"Eastern Buffer","EM1","1991-06-03","1","Bottom Water","0.3","5","8.1","33.9","4.3","22.1","6.5","0.16"
"Eastern Buffer","EM1","1991-07-05","1","Surface Water","1.1","6.5","8.2","27","2.9","25.1","3","0.47"
"Eastern Buffer","EM1","1991-07-05","1","Middle Water","<0.2","4.5","8.2","32.3","2.6","21.9","3","0.35"
"Eastern Buffer","EM1","1991-07-05","1","Bottom Water","0.3","4.9","8.1","34.1","6.1","20.6","5.5","0.2"
"Eastern Buffer","EM1","1991-08-05","1","Surface Water","4.5","7.7","8.4","29","3.3","24.2","3","0.26"
"Eastern Buffer","EM1","1991-08-05","1","Middle Water","2.8","4.2","8.3","31.5","3","21.7","4","0.29"
"Eastern Buffer","EM1","1991-08-05","1","Bottom Water","7.2","3.6","8.4","33.5","4","19.7","5","0.44"
"Eastern Buffer","EM1","1991-09-10","1","Surface Water","0.8","3.5","8.1","31.6","4.8","24.6","6.5","0.54"
"Eastern Buffer","EM1","1991-09-10","1","Middle Water","0.8","3.6","8.1","32","9","24.2","10","0.45"
"Eastern Buffer","EM1","1991-09-10","1","Bottom Water","0.5","3.8","8.1","32.1","6.9","24.2","10","0.39"
"Eastern Buffer","EM1","1991-10-07","1","Surface Water","<0.2","4.6","7.9","32.5","3.8","25.4","3.5","0.45"
"Eastern Buffer","EM1","1991-10-07","1","Middle Water","0.8","5.2","7.8","32.7","3","25.2","2","0.47"
"Eastern Buffer","EM1","1991-10-07","1","Bottom Water","<0.2","5.4","7.9","32.8","6.5","25.2","9.5","0.29"
"Eastern Buffer","EM1","1991-11-04","1","Surface Water","3.2","4.7","7.9","32.5","2.4","23.9","8","0.56"
"Eastern Buffer","EM1","1991-11-04","1","Middle Water","2.7","4.1","7.9","32.7","7.9","23.8","9","0.55"
"Eastern Buffer","EM1","1991-11-04","1","Bottom Water","2.1","4.1","8","32.7","3.4","23.8","14","0.46"
"Eastern Buffer","EM1","1991-12-03","1","Surface Water","0.2","8","8","31.2","3.2","21","4.5","0.37"
"Eastern Buffer","EM1","1991-12-03","1","Middle Water","<0.2","6.5","8","31.5","3","20.8","4","0.34"
"Eastern Buffer","EM1","1991-12-03","1","Bottom Water","0.2","6.3","8.1","31.5","6.5","20.7","8","0.3"
"Eastern Buffer","EM1","1992-01-03","1","Surface Water","<0.2","11.2","8.9","35.6","3.5","16.6","3.5","0.3"
"Eastern Buffer","EM1","1992-01-03","1","Middle Water","0.3","11.4","8.9","34.5","4.4","16.5","3","0.27"
"Eastern Buffer","EM1","1992-01-03","1","Bottom Water","0.3","10.3","8.9","34.7","3.8","16.5","3.5","0.23"
"Eastern Buffer","EM1","1992-02-14","1","Surface Water","0.3","6","8.1","32","3.8","15.5","4.5","0.18"
"Eastern Buffer","EM1","1992-02-14","1","Middle Water","0.3","6.1","8.1","32.1","5","15.7","6","0.16"
"Eastern Buffer","EM1","1992-02-14","1","Bottom Water","<0.2","6.1","8.1","32.1","13","15.7","20","0.15"
"Eastern Buffer","EM1","1992-03-04","1","Surface Water","1.1","7.2","8.1","31.9","4.1","16.5","2.5","0.22"
"Eastern Buffer","EM1","1992-03-04","1","Middle Water","0.3","6.9","8","32","4.5","16.5","10","0.3"
"Eastern Buffer","EM1","1992-03-04","1","Bottom Water","0.5","6.9","8","32.2","15","16.5","32","0.28"
"Eastern Buffer","EM1","1992-04-01","1","Surface Water","<0.2","4.8","8.2","32.6","3.3","18.1","4.5","0.2"
"Eastern Buffer","EM1","1992-04-01","1","Middle Water","0.3","4.4","8.1","32.5","3.6","18","5.5","0.2"
"Eastern Buffer","EM1","1992-04-01","1","Bottom Water","0.8","4.4","8.1","32.5","7","18","11","0.2"
"Eastern Buffer","EM1","1992-05-04","1","Surface Water","<0.2","6.5","8.1","29.9","3.5","23.3","4","0.08"
"Eastern Buffer","EM1","1992-05-04","1","Middle Water","2.1","6.3","8.1","30","3.4","23.1","4.5","0.17"
"Eastern Buffer","EM1","1992-05-04","1","Bottom Water","2.1","5.6","8.1","30.6","3.9","22.8","5","0.2"
"Eastern Buffer","EM1","1992-06-01","1","Surface Water","<0.2","4.9","8.1","31.5","4","25","6.5","0.31"
"Eastern Buffer","EM1","1992-06-01","1","Middle Water","1.1","5.1","8.2","31.6","4.8","24.9","7.5","0.3"
"Eastern Buffer","EM1","1992-06-01","1","Bottom Water","1.1","5.2","8.1","31.6","4.9","24.9","9.5","0.26"
"Eastern Buffer","EM1","1992-07-03","1","Surface Water","<0.2","4.3","8.1","25.9","9.8","28.4","14","0.39"
"Eastern Buffer","EM1","1992-07-03","1","Middle Water","<0.2","4","8.2","27.5","13","28","17","0.37"
"Eastern Buffer","EM1","1992-07-03","1","Bottom Water","0.5","4","8.2","29.4","13","27.5","20","0.35"
"Eastern Buffer","EM1","1992-08-03","1","Surface Water","1.6","4.7","7.8","31.4","4.1","25.5","3.5","0.29"
